Review,Sentiment
Best iPhone 12 camera good performance I am very happy thanks Flipkart,Positive
"Review after 2 month of usesI have been using iPhone 6s since last 4 years and now I have come to iPhone 12. I am using it since last 2 months, it has been a wonderful experience. If you are also thinking of taking 12, then take it without any rest.Its battery backup is very amazing. Camera quality is amazingIf you are an iPhone lover, then feel free to take 12. And the waterproof test is awesomeIn performance no one can  beat iPhone.overall 5 out of 5 rating",Positive
Awesome in one word,Positive
I got my product after 10 days from my ordered date but never mind finally i received my iphone 12 its crazyyyyy Trust me if you wanna have any handy Handset and high performance within your budget then you can go for this Its truly Unbeatable,Positive
What a phone ! Its a beast in terms of performance and great battery life. Love the red colour. Got for a great price ! My first apple phone !,Positive
The best part is performance and CameraNo need to buy 20-30 k dslrs (without lens) after having this phone,Positive
"It’s a beauty which comes at a cost. The transition from Android to IOS has been pretty smooth.My views after  20 days of usage are as follows1. Amazing display2. Excellent camera no comparison with other phones3. Very good sound quality4. The interface is confusing, will get used to it5. Battery is good, could have been better6. The design is awesome and very light in weight.Blue Color is really vibrant",Positive
I am first time use iphone very fast performance battery backup to good iphone unic features copy paste double tap screen shot extra very help ful  camera low light very good but camera manual mode missing no hug but some time get bugs crome browser totally 9/10 thanks to apple,Positive
Satisfied,Positive
Powerful package,Positive
"The blue colour gives a royal feeling, switching from android to IOS is great experience with I phone 12. Really enjoying camera features. Happy to have this.",Positive
Good phone,Positive
Best buy!!,Positive
awesome product,Positive
The most awaited. I like the White colour iPhone 12 . Overall performance is good nice to handle nice to hold. A handset Worth money. No charger,Positive
Phone of my dream..A long dream ends lastly ..,Positive
"After 2 months of usage, the device is perfect in all aspects. Nothing to say, ios is as smooth as butter. The battery, lasts well for me for more than a day; mild user though. The display, even with a notch, is cinematic in its own style. Camera is too good to be perfect.",Positive
Fastest Phone till now sounds quality like never before and also increase in battery backup,Positive
Loved it,Positive
"Migration from android to iOS, very much exited to use this phone and the quality of the camera is very good, faster and m very happy with the product. Request to send the proper bill along with the product n that is the only concern I have. Thank you.",Positive
"Review after 15 days: Upgraded from iPhone XExcellent phone with amazing battery back up, easily last a day with high usage.Fast charging is also great. Charged 30% to > 80% within 30 mins.Not to mention Camera quality. All iPhone have great camera quality. But upgrading from iPhone X, this phone’s camera quality is even better with better crispness and great in low light.LED screen is pretty awesome. You can get great pictures and videos steaming.Design is pretty awesome. Flat edges...READ MORE",Positive
Excellent...loved it!!,Neutral
Best in this price,Positive
Switched from anroid to ios and the journey been awesome.  Far better than any phone I have ever used . Everyone remains worried abt the battery performance but trust me I am a heavy user still my battery last easily for a day . Camera is awesome even at low light.  Security is top level.,Positive
"So far so good. Almost after 10 years on android, trying iOS for the first time. One thing I liked is lesser idle battery drain.",Positive
Looks great !!,Positive
Classy phone,Positive
"Absolutely Fantastic.I just came to ios from android,Im not a fan of ios but Trust me once you get used to the ios you won’t go back to android. The processing speed was unbelievably Fast. Battery is decent you can get 1Day easily.Camera is unbeatable",Positive
Awesome camera quality,Positive
i am using this past 4 months ago but the phone is awesome for using mind blowing,Positive
Fully satisfied with overall performance…,Positive
Nice one.... I love the camera quality...,Positive
"Pros :-Great PerformanceGreat CameraGreat sound quality for callsGreat Display - Finally OLED in the non pro phonesCons :-Battery life - Although iOS is very optimised, still could have been a little betterPrice - Not value for money as compared to other android phonesFor existing apple users don't update if you're coming from iPhone X or 11 series. Won't feel much of an updateFor others, buy it if you're looking for a change from Android or if you're looking to get into the apple...READ MORE",Positive
"Can finally tell I made the perfect colour choice for my first iPhone;Decent looking,Good interface as it's meant to be,very less visible fingerprints and surprisingly handy.",Positive
"Finally moved from Android (OnePlus 7T) to iOS & it’s a different level. Display is outstanding. Camera superb as usual. But surprised with the battery performance, its really great. Only drawback is the missing of 90Hz display, missed the fluidity of that. May be with time will habituated with that. But it’s worth noting. Overall an awesome luxurious experience from a luxurious brand.",Positive
"After being a long time samsung user i switched to iphone again after iphone 4s and i am thoroughly enjoying it. Ios 14 is much polished and android users will surely enjoy using ios now. Battry lasts a day with moderate use. Performance, usability, camera, sound and display everything is top notch. Icing on the cake apple car play is much more usable than android auto",Positive
I like it exlent I phone 12,Positive
Great feeling ios14,Positive
Best camera phone,Positive
So far so good. It’s my dream to own an iPhone for over a decade. Finally came true with iPhone 12. Previously owned Samsung S9 plus so competing with android i will say my likes and dislikes.Likes:1. OS is really fluid2. Security features like facial recognition for app installation etc3. Little nuances like ringtone sound reduction automatically after I see the mobile4. Camera is good though still equal to Samsung can’t say extraordinary5. Facial unlock is really quick6. 5G ready s...READ MORE,Positive
"This iPhone 12 was replacing Android , so it was always going to be a huge step up in performance, and this has not disappointed at all.  The new A14 chip makes light work of alternating between apps, camera and other functions of the phone, everything is so quick and the display is crisp and bright.The camera quality is outstanding, as a keen photographer, it is difficult now to decipher what has been taken with a dedicated camera (in my case a Panasonic LUMIX) or with the iPhone itself....READ MORE",Positive
The phone is very smooth it for a processor is very nice It cameras are decent like DSLR the best phone ever first Apple phone,Positive
Worth of buying this product. It’s really a good stuff for apple lover.,Positive
An amazing color,Positive
"Overall a good experience. Takes sometime to get used to iOS if you're coming from android. The display is good, looks natural. I turned off true tone as I felt it made the display warmer than I like. Also you might find the colours not very saturated if you're coming from a Samsung phone.Battery is very good, lasts an entire day and more for me. Camera is also pretty good.",Positive
Got a genuine product. Checked the serial number online as well and it all matched. Works like a charm. Fast as ever. Worth the money,Positive
I was upgraded from iPhone X and it was great experience with all the latest specs and flawlessly smooth. Thanks to all new A14 Bionic chip.Build quality was great as always from Apple.Phone feels light on hands due to aluminium body. I chose Blue colour because wanted to go for different colour than routine Black and white iPhones so initially I was bit skeptical but after seeing the phone in person I’m happy with the blue colour “ not bad at all and not too flashy”Grip and feel perfect. ...READ MORE,Positive
"Now it's around 16 days using iphone 12, and the real things i like about this phone is camera and it's functions, fast charging processor and in hand feel.The product is worth the price. It's a brand that give you the worth of your money.",Positive
Super love you I phone 12,Positive
Very good product. Received in perfect condition from flipkart. I would recommend buying from flipkart at a great deal.,Positive
"Premium look..just go .without any doubt.superb camera ,red color is look too cool.",Positive
Stunning Phone from IPhone at Stunning price.1. Good Display.2. Good Looking Ceramic coated iPhone 12.3. Performance rocket.4. Camera awesome with added apps for photo n video. Seamlessly great,Positive
I was scared to buy iphone online after hearing horrific stories online. That apple care won't be included and all. But as soon as i started setting up and put the serial number online - got full apple coverage details. Before  creating an apple id the serial number would not show any coverage- so no need to panic just create apple id. Seller to flipkart and seller.,Negative
Awsm,Neutral
Its just awesome,Positive
"Amazing performance, handy phone, Good Camara all about good.",Positive
Product was fine . No issue .,Negative
"A simple ,elegant and functional iPhone . Very happy with the purchase at 54k .No cons yet . But company must provide charger .",Positive
Amazing camera,Positive
Love it,Positive
One of the best excellent camera,Positive
Awsm red productGreat soundGreat batteryGreat cameraGreat display,Neutral
"I am a tech freak so you can trust my views -- A14 Bionic is the fastest, most efficient and reliable processor till date- The camera focuses so quickly that you can take DSLR quality photos.- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina XDR display is so crisp and everything feels real.- The stereo speakers are so clear even on high volume an...",Positive
Good experience iPhone 12 mobileCamera clarity good qualityBattery full charged 1 hourDisplay quality good 8kOverall mobile is goodFlipkart Fast deliver 1day,Positive
"Well always being user of Apple devices doesn’t makes my think about something new. As everyone knows the things remain same but the way things are advertised are different. But the things had changed now. This new iPhone 12 should be bought with all the MagSafe accessories if you want to enjoy this technology beast. Be it camera, performance, multi tasking or whatever a smartphone can do, this thing does it better. Go for it.",Positive
Best deviceBest cameraBest performance(Small advice : go for 128gb),Positive
"First time in my life I'm trying iphone, I'm an android Samsung note user. There are no powerful android phones which are compact to use single handedly..that's the main reason I'm living the iPhone. I didn't go for the 12 Pro max as it is ginormous in size and the 12 mini was reviewed to have sub par battery life. 12 and 12 Pro are the ideal phones for the best of both worlds. I didnt need the telephoto and Lidar camera, so I went with 12 to save some thousands. I'm enjoying the single hande...READ MORE",Positive
"Mobile in hand fill is good like a premium,Camera not so it's just good,Battery backup is very good,Performance is very good.",Positive
no need to tell anything . Every one knows about I phone.,Negative
Got an iphone 12 128gb green colour as I expected thanks for flipcart. And when it comes to phone iphone is good and i love purple colour but i got green but it's ok when it comes to its performance and camera excellent and battery backup and charging speed is also good..,Positive
"price range is not for everyone but if you can afford it don't hesitate a bit because this phones gives you most realistic camera, stunning filters, efficient battery life, multimedia files take low storage, applications run smoothly and last but best part is the security features for messaging and payments.I am not asking everyone to buy it but if you can afford an apple phone then you should always go for it without giving a second thought",Positive
"Best phone ever ..it cost me 54k ,no doubt best performance  .",Positive
"Awesome.. this is my first switch to an IOS Device after using an adroid device untill now. And i am happy. The built quality, display, performance and responsive touch are just excellent.The camera is just way too good. Especially the night mode impressed me a lot. The phone is simple Amazing.",Positive
Updated myself from Iphone XR,Neutral
"amazing, camara results is too good",Positive
Love it Thynkew FlipKart for giving originality n genuine,Positive
Awesome camera and built quality,Positive
Appreciated with product!!!!!! It's amazing when I ordered there was so many doubt related products quality and refurbished Or duplicate... But when it was reached its amazing experience. Phone was fully packed as it bought from showroom...... And same with warranty... Warranty is in accurately activated by system... Very good product,Positive
It's just awsmmmm,Neutral
Camera is awesome. Even the Night camera,Positive
Retina is not good than samsung galaxy s21 ultra,Negative
Iphone 12 it’s light weight. Handy and Comfortable.Blue colour looks sexy.Battery performance is great.Look is A1.,Neutral
"Moved to iPhone from Android since cupcake days and I’m loving it so far. Brilliant display, camera and performance. IOS is still a little behind Android in terms of features and shortcuts in my opinion but it’s very close. Still getting used to all the features of iOS. Per-ordered on the launch day and it arrived barely on time. Overall happy with the purchase.",Positive
Good product,Positive
"While charging the phone, it is overheated and unable touch it. It is so hot while using also",Neutral
Thank you so much Flipkart for fastest delivery.Camera quality is really awesome.,Positive
I like it,Positive
Super mobile with excellent cam,Positive
Only one word for this iPhone #fantabulous ‍,Neutral
Iphone 12 better than 12pro,Positive
"As a android user new to Iphone how i felt in daily usage?1. Camera super2. Battery backup good, it stands for oneday in normal usage, everyday morning you should charge it, while charging 10-80 percent charge it reaches within 45min but for 100% it takes 1.45hrs since i activated optimised charging option.3.you cant copy music from your laptop you should install online music app4. Overall super",Positive
"Nice productCamera,Battery,Screen…all are very good",Positive
Just awesome… loved it,Positive
Very attractive and superb performance.,Positive
Camera quality is good,Positive
It is the best,Positive
